,file_name,pdb_name,file_type,file_path,ROMol,rdkit_log
0,5ohj_ligand.mol2,5ohj,mol2,../data/v2020-other-PL/5ohj/5ohj_ligand.mol2,,"[RDKit] ERROR:[13:58:41] Can't kekulize mol.  Unkekulized atoms: 38 39 40 41 42
"
1,3whw_ligand.mol2,3whw,mol2,../data/v2020-other-PL/3whw/3whw_ligand.mol2,,"[RDKit] ERROR:[13:58:41] sanitize [13:58:41] 5ohj_ligand: [13:58:41] Explicit valence for atom # 18 C, 5, is greater than permitted
"
2,5wjj_ligand.mol2,5wjj,mol2,../data/v2020-other-PL/5wjj/5wjj_ligand.mol2,,"[RDKit] ERROR:[13:58:41] Can't kekulize mol.  Unkekulized atoms: 9 10 27 30 32
"
3,2fou_ligand.mol2,2fou,mol2,../data/v2020-other-PL/2fou/2fou_ligand.mol2,,
4,5yjy_ligand.mol2,5yjy,mol2,../data/v2020-other-PL/5yjy/5yjy_ligand.mol2,,"[RDKit] ERROR:[13:58:43] Can't kekulize mol.  Unkekulized atoms: 0 2 3 6 7 8 9 10 11
"
5,2aoh_ligand.mol2,2aoh,mol2,../data/v2020-other-PL/2aoh/2aoh_ligand.mol2,,"[RDKit] ERROR:[13:58:43] sanitize [13:58:43] 5yjy_ligand: [13:58:43] Explicit valence for atom # 26 C, 5, is greater than permitted
"
6,3lp1_ligand.mol2,3lp1,mol2,../data/v2020-other-PL/3lp1/3lp1_ligand.mol2,,"[RDKit] ERROR:[13:58:43] sanitize [13:58:43] 2aoh_ligand: [13:58:43] Can't kekulize mol.  Unkekulized atoms: 0 3 4 6 7 8 9 10 11
"
7,3qlb_ligand.mol2,3qlb,mol2,../data/v2020-other-PL/3qlb/3qlb_ligand.mol2,,
8,3fxz_ligand.mol2,3fxz,mol2,../data/v2020-other-PL/3fxz/3fxz_ligand.mol2,,"[RDKit] ERROR:[13:58:46] Explicit valence for atom # 12 C, 5, is greater than permitted
"
9,2fov_ligand.mol2,2fov,mol2,../data/v2020-other-PL/2fov/2fov_ligand.mol2,,
10,3bwf_ligand.mol2,3bwf,mol2,../data/v2020-other-PL/3bwf/3bwf_ligand.mol2,,"[RDKit] ERROR:[13:58:46] Explicit valence for atom # 11 C, 5, is greater than permitted
"
11,5lwe_ligand.mol2,5lwe,mol2,../data/v2020-other-PL/5lwe/5lwe_ligand.mol2,,"[RDKit] ERROR:[13:58:46] sanitize [13:58:46] 3bwf_ligand: [13:58:47] Can't kekulize mol.  Unkekulized atoms: 20 21 22 23 24
"
12,6pgx_ligand.mol2,6pgx,mol2,../data/v2020-other-PL/6pgx/6pgx_ligand.mol2,,"[RDKit] ERROR:[13:58:47] sanitize [13:58:47] 5lwe_ligand: [13:58:47] Explicit valence for atom # 7 C, 5, is greater than permitted
"
13,4i60_ligand.mol2,4i60,mol2,../data/v2020-other-PL/4i60/4i60_ligand.mol2,,"[RDKit] ERROR:[13:58:48] Explicit valence for atom # 15 C, 5, is greater than permitted
"
14,2fm5_ligand.mol2,2fm5,mol2,../data/v2020-other-PL/2fm5/2fm5_ligand.mol2,,"[RDKit] ERROR:[13:58:48] sanitize [13:58:48] 4i60_ligand: [13:58:49] Can't kekulize mol.  Unkekulized atoms: 31 32 33 34 35
"
15,1epq_ligand.mol2,1epq,mol2,../data/v2020-other-PL/1epq/1epq_ligand.mol2,,
16,3zp9_ligand.mol2,3zp9,mol2,../data/v2020-other-PL/3zp9/3zp9_ligand.mol2,,"[RDKit] ERROR:[13:58:50] Explicit valence for atom # 36 C, 5, is greater than permitted
"
17,3vjs_ligand.mol2,3vjs,mol2,../data/v2020-other-PL/3vjs/3vjs_ligand.mol2,,"[RDKit] ERROR:[13:58:50] Explicit valence for atom # 1 C, 6, is greater than permitted
"
18,1hyz_ligand.mol2,1hyz,mol2,../data/v2020-other-PL/1hyz/1hyz_ligand.mol2,,"[RDKit] ERROR:[13:58:50] Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6
"
19,3cst_ligand.mol2,3cst,mol2,../data/v2020-other-PL/3cst/3cst_ligand.mol2,,"[RDKit] ERROR:[13:58:50] sanitize [13:58:50] 1hyz_ligand: [13:58:50] Explicit valence for atom # 25 C, 5, is greater than permitted
"
20,3fy0_ligand.mol2,3fy0,mol2,../data/v2020-other-PL/3fy0/3fy0_ligand.mol2,,"[RDKit] ERROR:[13:58:52] Explicit valence for atom # 1 C, 5, is greater than permitted
"
21,4rlp_ligand.mol2,4rlp,mol2,../data/v2020-other-PL/4rlp/4rlp_ligand.mol2,,"[RDKit] ERROR:[13:58:52] sanitize [13:58:52] 3fy0_ligand: [13:58:52] Explicit valence for atom # 2 C, 5, is greater than permitted
"
22,2foy_ligand.mol2,2foy,mol2,../data/v2020-other-PL/2foy/2foy_ligand.mol2,,
23,5tyk_ligand.mol2,5tyk,mol2,../data/v2020-other-PL/5tyk/5tyk_ligand.mol2,,"[RDKit] ERROR:[13:58:53] Can't kekulize mol.  Unkekulized atoms: 3 4 5 15 17
"
24,5hlm_ligand.mol2,5hlm,mol2,../data/v2020-other-PL/5hlm/5hlm_ligand.mol2,,"[RDKit] ERROR:[13:58:53] sanitize [13:58:53] 5tyk_ligand: [13:58:53] Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6
"
25,3bho_ligand.mol2,3bho,mol2,../data/v2020-other-PL/3bho/3bho_ligand.mol2,,"[RDKit] ERROR:[13:58:53] sanitize [13:58:53] 5HLM_LIGAND: [13:58:53] Explicit valence for atom # 2 O, 3, is greater than permitted
"
26,2pll_ligand.mol2,2pll,mol2,../data/v2020-other-PL/2pll/2pll_ligand.mol2,,"[RDKit] ERROR:[13:58:55] Explicit valence for atom # 8 C, 5, is greater than permitted
"
27,4kw6_ligand.mol2,4kw6,mol2,../data/v2020-other-PL/4kw6/4kw6_ligand.mol2,,"[RDKit] ERROR:[13:58:55] sanitize [13:58:55] 2pll_ligand: [13:58:55] Can't kekulize mol.  Unkekulized atoms: 2 4 6 7 8 9 10 11 12
"
28,3kck_ligand.mol2,3kck,mol2,../data/v2020-other-PL/3kck/3kck_ligand.mol2,,"[RDKit] ERROR:[13:58:55] sanitize [13:58:55] 4kw6_ligand: [13:58:56] Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8 9 14 15 16 17 18 19 20 21 22 23 24
"
29,1nu1_ligand.mol2,1nu1,mol2,../data/v2020-other-PL/1nu1/1nu1_ligand.mol2,,"[RDKit] ERROR:[13:58:57] Can't kekulize mol.  Unkekulized atoms: 9 10 11 13 14 15 16 17 18
"
30,3v9b_ligand.mol2,3v9b,mol2,../data/v2020-other-PL/3v9b/3v9b_ligand.mol2,,"[RDKit] ERROR:[13:58:58] Can't kekulize mol.  Unkekulized atoms: 33 34 35 37 38
"
31,6gu6_ligand.mol2,6gu6,mol2,../data/v2020-other-PL/6gu6/6gu6_ligand.mol2,,"[RDKit] ERROR:[13:58:58] sanitize [13:58:58] 3v9b_ligand: [13:58:58] Can't kekulize mol.  Unkekulized atoms: 3 4 19 20 22
"
32,3vjt_ligand.mol2,3vjt,mol2,../data/v2020-other-PL/3vjt/3vjt_ligand.mol2,,"[RDKit] ERROR:[13:58:58] Explicit valence for atom # 1 C, 6, is greater than permitted
"
33,3lp2_ligand.mol2,3lp2,mol2,../data/v2020-other-PL/3lp2/3lp2_ligand.mol2,,"[RDKit] ERROR:[13:58:58] Can't kekulize mol.  Unkekulized atoms: 0 1 3 4 5 6 8 9 10
"
34,2ci9_ligand.mol2,2ci9,mol2,../data/v2020-other-PL/2ci9/2ci9_ligand.mol2,,"[RDKit] ERROR:[13:58:58] sanitize [13:58:58] 3lp2_ligand: [13:58:58] Explicit valence for atom # 12 C, 5, is greater than permitted
"
35,1h07_ligand.mol2,1h07,mol2,../data/v2020-other-PL/1h07/1h07_ligand.mol2,,"[RDKit] ERROR:[13:58:59] Explicit valence for atom # 10 C, 5, is greater than permitted
"
36,1qpf_ligand.mol2,1qpf,mol2,../data/v2020-other-PL/1qpf/1qpf_ligand.mol2,,"[RDKit] ERROR:[13:59:01] Explicit valence for atom # 6 C, 5, is greater than permitted
"
37,1a7x_ligand.mol2,1a7x,mol2,../data/v2020-other-PL/1a7x/1a7x_ligand.mol2,,"[RDKit] ERROR:[13:59:01] sanitize [13:59:01] 1qpf_ligand: [13:59:01] Explicit valence for atom # 9 C, 5, is greater than permitted
"
38,2vr0_ligand.mol2,2vr0,mol2,../data/v2020-other-PL/2vr0/2vr0_ligand.mol2,,"[RDKit] ERROR:[13:59:02] Can't kekulize mol.  Unkekulized atoms: 0 2 3 6 7 8 9 10 11
"
39,5ujo_ligand.mol2,5ujo,mol2,../data/v2020-other-PL/5ujo/5ujo_ligand.mol2,,"[RDKit] ERROR:[13:59:02] sanitize [13:59:02] 2vr0_ligand: [13:59:02] Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 4
"
40,2q2n_ligand.mol2,2q2n,mol2,../data/v2020-other-PL/2q2n/2q2n_ligand.mol2,,"[RDKit] ERROR:[13:59:02] sanitize [13:59:02] 5ujo_ligand: [13:59:02] Can't kekulize mol.  Unkekulized atoms: 0 26
"
